param_set,params,macro_mcc,model,representation
0,"{'C': 0.01, 'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4183324318399946,logistic_regression,morgan
1,"{'C': 0.01, 'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.451606869579218,logistic_regression,morgan
2,"{'C': 0.01, 'solver': 'saga', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4256423828520252,logistic_regression,morgan
3,"{'C': 0.01, 'solver': 'saga', 'penalty': 'l2', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4622493493639503,logistic_regression,morgan
4,"{'C': 0.1, 'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4455663285312624,logistic_regression,morgan
5,"{'C': 0.1, 'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4621452655996217,logistic_regression,morgan
6,"{'C': 0.1, 'solver': 'saga', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4492114271939816,logistic_regression,morgan
7,"{'C': 0.1, 'solver': 'saga', 'penalty': 'l2', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4647838294380146,logistic_regression,morgan
8,"{'C': 1.0, 'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4357088504541113,logistic_regression,morgan
9,"{'C': 1.0, 'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4489522618195696,logistic_regression,morgan
10,"{'C': 1.0, 'solver': 'saga', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4542121776475593,logistic_regression,morgan
11,"{'C': 1.0, 'solver': 'saga', 'penalty': 'l2', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4510702428381371,logistic_regression,morgan
12,"{'C': 10.0, 'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'random_state': 33, 'max_iter': 5000}",0.4068699268895281,logistic_regression,morgan
