model,representation,macro_mcc,baseline_macro_mcc,delta_macro_mcc,micro_f1,baseline_micro_f1,delta_micro_f1,hamming_loss,baseline_hamming_loss,delta_hamming_loss
logistic_regression,morgan,0.21820802876606057,0.0,0.21820802876606057,0.4947267497603068,0.3813953488372093,0.11333140092309746,0.2905982905982906,0.1833471188309898,-0.10725117176730081
logistic_regression,MolE,0.19362875300737653,0.0,0.19362875300737653,0.39572192513368987,0.3813953488372093,0.014326576296480542,0.4050179211469534,0.1833471188309898,-0.2216708023159636
logistic_regression,chemberta,0.10694648283073101,0.0,0.10694648283073101,0.409209060527293,0.3813953488372093,0.027813711690083676,0.43865453542872895,0.1833471188309898,-0.25530741659773915
logistic_regression,inchi,0.12241635210771479,0.0,0.12241635210771479,0.45337753833402406,0.3813953488372093,0.07198218949681473,0.3636614281775572,0.1833471188309898,-0.1803143093465674
random_forest,morgan,0.2240978692149125,0.0,0.2240978692149125,0.5036818851251841,0.3813953488372093,0.12228653628797476,0.2787427626137304,0.1833471188309898,-0.09539564378274057
random_forest,MolE,0.21378220940150222,0.0,0.21378220940150222,0.48739495798319327,0.3813953488372093,0.10599960914598394,0.28591122139509234,0.1833471188309898,-0.10256410256410253
random_forest,chemberta,0.1291802723517899,0.0,0.1291802723517899,0.4225352112676056,0.3813953488372093,0.0411398624303963,0.44086021505376344,0.1833471188309898,-0.25751309622277363
random_forest,inchi,0.12046538904501453,0.0,0.12046538904501453,0.4263565891472868,0.3813953488372093,0.04496124031007748,0.4080507306313758,0.1833471188309898,-0.224703611800386
xgboost,morgan,0.2041279616840952,0.0,0.2041279616840952,0.4740484429065744,0.3813953488372093,0.09265309406936506,0.3352633030052385,0.1833471188309898,-0.15191618417424868
xgboost,MolE,0.2396122507716065,0.0,0.2396122507716065,0.532777115613826,0.3813953488372093,0.1513817667766167,0.21615660325337746,0.1833471188309898,-0.03280948442238765
xgboost,chemberta,0.11617778593484746,0.0,0.11617778593484746,0.43685220729366603,0.3813953488372093,0.055456858456456704,0.4044665012406948,0.1833471188309898,-0.22111938240970497
xgboost,inchi,0.15320686886193838,0.0,0.15320686886193838,0.46231617647058826,0.3813953488372093,0.08092082763337893,0.3225806451612903,0.1833471188309898,-0.1392335263303005
