model,logistic_regression,logistic_regression,logistic_regression,logistic_regression,random_forest,random_forest,random_forest,random_forest,xgboost,xgboost,xgboost,xgboost,mean
representation,MolE,chemberta,inchi,morgan,MolE,chemberta,inchi,morgan,MolE,chemberta,inchi,morgan,
CYP3A4,0.3030166293825567,0.2707550678600804,0.2438499877858896,0.453052251843823,0.39596809205104017,0.3384706368557845,0.3226198140096663,0.4642846050955993,0.38122715660084555,0.37971425144730353,0.3392885044001657,0.4792668877360167,0.3643
CYP2D6,0.38181886141009336,0.22313217413655503,0.2581344915654518,0.400927365701335,0.39228015896103174,0.18430871500486742,0.3101877086916942,0.4064634857063611,0.3616065445521665,0.1414463904478221,0.31360074642249963,0.304425748360384,0.3065
CYP2C9,0.24467879900362943,0.06784488284147043,0.05142453449453327,0.09267402004822894,0.12004653599371128,0.09155001850506489,0.005921119076103136,0.21819544472036778,0.33399104847242794,0.1492559442385726,0.16550796819880886,0.20019528828128363,0.1451
CYP1A2,0.24064062084817722,0.32750488716766324,0.30253814271936513,0.3327182807820402,0.41070917611270735,0.2150068703923295,0.16894362818769026,0.345339219766281,0.4349951154980979,0.2129992502120634,0.2753800753793088,0.2277770990762726,0.2912
CYP3A5,0.2605610737462511,0.05367447695740579,0.09364552083139949,0.2568140464876064,0.05367447695740579,0.189171755759832,0.05367447695740579,0.2609474074700289,0.15393012956526922,0.13391452959511915,0.19998637189804794,0.18758726604544956,0.1581
CYP2C19,0.0586405146764627,0.0,0.11406462837878731,0.16335751767780707,0.25040060751190185,0.04466080133965645,0.05514886027504759,0.0948322651514637,0.16500224394250587,0.04814197113496403,0.09612036368815532,0.14612901661089694,0.103
CYP2C8,0.09961164901835044,0.0,0.08088445409587641,0.18875471211061848,0.2500783385941677,0.08088445409587641,0.08088445409587641,0.19152564427991983,0.2794988081119322,0.17858803909456308,0.14618379921506933,0.09374132872738906,0.1392
CYP2B6,0.14248692709295271,0.0,0.026301222193589997,0.08813259667468609,0.16671683690810113,0.03582860086593501,0.019828932900108568,0.11289606202816603,0.12166155965860706,0.036181688935141766,0.09039815780745519,0.09296796411080281,0.0778
CYP3A7,0.2243170452998066,-0.02271520763929913,-0.02271520763929913,0.23237227800313662,0.09608652082596879,0.0,-0.02271520763929913,0.22740892235995563,0.21600099297232092,-0.02271520763929913,-0.03218208831491778,0.19353912378136545,0.0889
CYP2E1,0.16618713913207167,0.13839032180070251,0.23087151888428578,0.34823337985845143,0.33360299468404253,0.23770267390973138,0.2510644336629578,0.36959331450966065,0.2771121174260774,0.10438551898558306,0.2639912379339414,0.31255335344204144,0.2528
CYP1A1,0.09079396491624687,0.10588235812176651,0.17557318767715877,0.13009529584309348,0.09847683351562435,0.1373729369433412,0.15437056401105392,0.1254111920437518,0.1611248673505483,0.07973398036888184,0.08666877500570674,0.15052141514224493,0.1247
CYP2A6,0.05553509477333512,0.12303547373147733,0.05009902586686594,0.051252826923249874,0.22438707955743808,0.12438607690084953,0.17938020281049574,0.10963366611591877,0.04601837641756392,0.06866486033230115,0.06553015742876628,0.08216871111656807,0.0983
CYP3A43,0.24888546979596063,0.10279984182168098,-0.013258929453611836,0.09831980200471127,-0.013258929453611836,0.0,-0.013258929453611836,-0.013258929453611836,0.18279029946252218,0.0,-0.018784773857808603,0.18279029946252218,0.062
mean,0.1936,0.1069,0.1224,0.2182,0.2138,0.1292,0.1205,0.2241,0.2396,0.1162,0.1532,0.2041,0.1701
