model,logistic_regression,logistic_regression,logistic_regression,logistic_regression,random_forest,random_forest,random_forest,random_forest,xgboost_results,xgboost_results,xgboost_results,xgboost_results
representation,MolE,chemberta,inchi,morgan,MolE,chemberta,inchi,morgan,MolE,chemberta,inchi,morgan
cyp,,,,,,,,,,,,
CYP3A4,0.7,0.5,0.3,0.5,0.7,0.7,0.7,0.5,0.7,0.7,0.7,0.5
CYP2D6,0.7,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.3,0.1,0.3,0.3
CYP2C9,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.3
CYP1A2,0.5,0.5,0.5,0.7,0.3,0.1,0.1,0.5,0.3,0.1,0.3,0.5
CYP3A5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CYP2C19,0.1,0.1,0.5,0.1,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0.3
CYP2C8,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0.1
CYP2B6,0.3,0.1,0.3,0.3,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1
CYP3A7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CYP2E1,0.3,0.7,0.7,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.5,0.5
CYP1A1,0.3,0.3,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.5,0.5
CYP2A6,0.3,0.7,0.7,0.3,0.1,0.1,0.3,0.3,0.5,0.3,0.7,0.5
CYP3A43,0.7,0.5,0.7,0.7,0.7,0.7,0.7,0.5,0.7,0.7,0.7,0.7
