param_set,params,macro_mcc
0,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 3, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43744179768765695
1,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 3, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43944790890949154
2,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 5, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43748728380402074
3,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 5, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.44260751365797957
4,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 3, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.4258323313862248
5,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 3, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43345767841093247
6,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43109557148127525
7,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43466028447955934
8,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_split': 3, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.4361540703281545
9,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_split': 3, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.44314893016895773
10,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_split': 5, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.4382730646154952
11,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_split': 5, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.4432610598576191
12,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 3, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.42626655035591293
13,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 3, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.434211302361382
14,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.4298006353841772
15,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2', 'class_weight': 'balanced', 'random_state': 33, 'n_jobs': 1}",0.43926212971252304
