param_set,params,macro_mcc
0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.16273383779265682
1,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.18185337717766897
2,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}",0.19399148904469396
3,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.20578522734555893
4,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 100}",0.2008412681453639
5,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 200}",0.21582938410184438
6,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.18133346658530025
7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.1934188661621884
8,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.20856810822531122
9,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.22113178822702576
10,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.21863522675450178
11,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.22304790830976534
12,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}",0.20352233205786943
13,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200}",0.20088760146703957
14,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100}",0.21995925526870252
15,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 200}",0.2148076097832079
16,"{'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100}",0.2111412859535901
17,"{'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200}",0.21741361645910567
