param_set,params,macro_mcc
0,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}",0.22898819976362006
1,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.2317194176767553
2,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300}",0.23176288982778445
3,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 100}",0.231704648408082
4,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 200}",0.2341138367060829
5,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 300}",0.2313480411329229
6,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.23127195707815734
7,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.2328755264343476
8,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.22475120328121087
9,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.2330892474745544
10,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.22906110211053995
11,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.2298048110311137
12,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100}",0.22922158533139625
13,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 200}",0.2269319179842946
14,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300}",0.23077876084718374
15,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 100}",0.2275934492537628
16,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 200}",0.23300220854963394
17,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 300}",0.2285704100592878
